"indID","sex","min_age","broodID","pairID","mateID","year","hatch_size","par_load","relative_par_load","period","BB","BUVC","YB","YUVC","YC","laydate","Nestbag"
5118883,"F",2,"pir113","5118883_5117346",5117346,2009,4,36,9,"F",15.37275,0.36331,18.066198,0.21194,0.729769,138,1
5535875,"F",2,"pir53","5535875_5597831",5597831,2010,7,88,12.57,"F",15.17004,0.330154,26.855326,0.203393,0.728945,121,1
5545066,"F",4,"pir110","5545066_5597683",5597683,2014,9,24,2.67,"F",13.148251,0.331705,15.185835,0.201784,0.808355,NA,1
5545079,"F",6,"pir34","5545079_7532030",7532030,2015,8,88,11,"F",11.817641,0.306092,13.215053,0.213931,0.692938,120,1
5545346,"M",2,"pir16","5545493_5545346",5545493,2011,4,30,7.5,"F",5.628655,0.39156,11.913741,0.200506,0.910443,134,1
5545365,"M",3,"pir103","5563540_5545365",5563540,2010,7,66,9.43,"F",11.795141,0.345659,17.671301,0.205583,0.839679,122,1
5545365,"M",4,"pir103","6000943_5545365",6000943,2011,6,78,13,"F",16.883395,0.353989,12.860124,0.211503,1.032003,119,1
5545365,"M",5,"pir103","5117360_5545365",5117360,2012,6,63,10.5,"C",19.905849,0.374272,23.063761,0.257211,0.672272,147,1
5545370,"F",3,"pir28","5545370_5117382",5117382,2010,7,103,14.71,"F",19.543263,0.334815,16.818264,0.203312,0.660392,124,1
5545392,"F",2,"pir8","5545392_5118772",5118772,2011,6,65,10.83,"F",6.699161,0.361565,17.35652,0.250782,0.697443,NA,1
5545492,"M",3,"pir90","5994613_5545492",5994613,2011,6,7,1.17,"F",16.966943,0.324124,17.70402,0.202761,0.86355,118,1
5563124,"M",5,"pir12","5116447_5563124",5116447,2012,5,5,1,"C",22.067072,0.344425,17.846164,0.228427,0.822829,NA,1
5563151,"F",3,"pir6","5563151_5118772",5118772,2010,7,75,10.71,"F",15.952444,0.318717,14.30614,0.215302,0.78572,125,1
5563151,"F",4,"pir6","5563151_5597844",5597844,2011,7,66,9.43,"C",8.233092,0.376007,13.221566,0.253505,0.946794,121,1
5563193,"F",3,"pir70","5563193_4960476",4960476,2009,7,70,10,"F",14.525092,0.406532,12.421987,0.224601,0.902623,NA,1
5563214,"M",3,"pir203","5563935_5563214",5563935,2009,7,142,20.29,"F",18.649801,0.412822,18.496693,0.239623,0.904085,130,1
5563214,"M",4,"pir111","5118883_5563214",5118883,2010,8,98,12.25,"F",15.201804,0.339096,19.795609,0.217296,0.761179,NA,1
5563276,"M",2,"pir107","5117102_5563276",5117102,2009,5,42,8.4,"F",17.41996,0.420542,17.319704,0.230745,0.860845,125,2
5563291,"M",3,"pir139","4960626_5563291",4960626,2010,7,68,9.71,"F",12.435266,0.358151,19.703653,0.212115,0.640417,128,1
5563558,"F",2,"pir43","5563558_5563557",5563557,2008,9,33,3.67,"F",11.086255,0.360271,15.8026,0.218465,0.852776,135,2
5563558,"F",3,"pir43","5563558_5563976",5563976,2009,4,59,14.75,"F",7.282304,0.3531,20.312009,0.221584,0.829008,NA,1
5563600,"F",4,"pir133","5563600_5118810",5118810,2010,8,43,5.38,"F",13.824619,0.289003,24.2078,0.210219,0.802443,124,1
5563670,"M",2,"pir104","NA_5563670",NA,2008,4,26,6.5,"F",17.157385,0.39597,13.465181,0.168815,1.280825,NA,1
5563679,"F",2,"pir87","5563679_NA",NA,2008,7,40,5.71,"F",19.718859,0.33046,16.074619,0.206034,0.780948,135,2
5563934,"M",3,"pir42","5563958_5563934",5563958,2010,4,31,7.75,"F",11.947566,0.363069,15.322193,0.208549,0.8224,NA,1
5563934,"M",4,"pir46","5118840_5563934",5118840,2011,8,50,6.25,"F",12.274535,0.371793,10.478787,0.193769,1.079988,120,1
5563934,"M",5,"pir46","5597333_5563934",5597333,2012,7,77,11,"F",6.101674,0.391274,14.524184,0.204779,0.792184,NA,1
5563935,"F",2,"pir203","5563935_5563214",5563214,2009,7,142,20.29,"F",10.38474,0.426,9.949867,0.182378,0.815064,130,1
5563936,"F",2,"pir75","5563936_5116496",5116496,2009,7,92,13.14,"F",14.316897,0.34659,14.020059,0.204262,0.718831,125,2
5563947,"M",3,"pir5","4736756_5563947",4736756,2009,7,59,8.43,"F",10.53789,0.439538,13.777048,0.216839,0.799724,NA,1
5563958,"F",2,"pir48","5563958_5563436",5563436,2009,4,50,12.5,"F",5.893749,0.382595,16.306459,0.213987,0.623281,NA,1
5563975,"F",3,"pir38","5563975_NA",NA,2009,6,66,11,"F",15.204314,0.364519,16.633944,0.19442,0.693969,134,1
5563976,"M",4,"pir37","5597799_5563976",5597799,2011,7,13,1.86,"F",14.32048,0.337244,13.699266,0.181294,1.129346,NA,1
5597053,"F",4,"pir74","5597053_5116496",5116496,2013,5,110,22,"C",8.347716,0.335293,17.580178,0.249225,0.665522,124,1
5597100,"M",2,"pir34","5117635_5597100",5117635,2010,4,43,10.75,"F",18.285204,0.361574,18.281731,0.206484,0.856346,122,1
5597100,"M",3,"pir34","5117635_5597100",5117635,2011,6,49,8.17,"F",13.74063,0.328758,11.496082,0.209529,0.782381,119,1
5597299,"M",2,"pir202","5597843_5597299",5597843,2011,7,42,6,"F",9.438157,0.428646,17.750731,0.206613,0.644575,125,1
5597299,"M",3,"pir235","3661853_5597299",3661853,2012,6,70,11.67,"C",18.776328,0.382622,17.84746,0.242524,0.665452,127,1
5597300,"M",3,"pir153","5116439_5597300",5116439,2011,7,71,10.14,"F",12.783722,0.368218,11.381927,0.223572,0.896434,NA,1
