"indID","sex","broodID","year","hatch_size","par_load","relative_par_load","period","BB","BUVC","YB","YUVC","YC","laydate","Nestbag"
8183926,"M","pir90",2017,7,15,2.14,"C",8.42660755984906,0.346436243031327,13.6767209014881,0.228934534188698,0.797293403691934,109,1
8183961,"M","pir85",2017,7,35,5,"C",10.6772853009654,0.345992568296765,9.66275711168226,0.241491495468164,0.784463243932913,119,1
8189341,"F","pir204",2018,7,40,5.71,"F",6.59492193873197,0.30419592077378,13.4250648463433,0.205302743899935,0.810305915522998,116,1
8189345,"F","pir204",2018,7,40,5.71,"C",5.87524040928626,0.282043895795757,10.7939486395921,0.227297165153907,0.520499121990174,116,1
8189347,"M","pir204",2018,7,40,5.71,"C",8.88891467826948,0.333468228666044,10.9341681955072,0.242660544832542,0.783918503369536,116,1
8189354,"M","pir159",2018,7,26,3.71,"C",9.95559425305006,0.332616274491248,9.78074652758059,0.234718671474163,0.786234027235072,118,1
8189367,"M","pir207",2018,6,42,7,"C",9.74580613056557,0.320919751221537,9.892456694989,0.237266453604917,0.675397329209779,118,1
8189388,"M","pir1",2018,6,52,8.67,"C",9.53469648788437,0.329899627838396,9.25762951983292,0.228946351688773,0.797711950945921,121,1
8189399,"M","pir246",2018,5,86,17.2,"C",18.337543221592,0.32721573363436,10.2519729180137,0.220674532115289,0.72493006479051,123,1
8378693,"M","pir81",2018,8,99,12.38,"C",9.04703445038281,0.348232594191676,10.8888070467888,0.231795247876218,0.608786469925935,123,1
8378799,"M","tua217",2019,5,0,0,"F",6.50925136270581,0.381668472838228,12.0567255790581,0.236106725554496,0.773568075085503,105,1
8379876,"F","pir85",2019,8,13,1.62,"F",6.45412557806399,0.273852235261099,10.7806374563363,0.195917663954728,0.657296227120418,108,1
8380796,"F","pir77",2020,6,21,3.5,"C",9.09043168274479,0.375575849124486,16.8258642590694,0.252368318301722,0.476109585789431,120,1
8380989,"M","pir315",2020,6,1,0.17,"F",18.5455108857978,0.351188549729297,13.4085460888971,0.253747281068455,0.797020265255256,126,1
8802142,"F","pir1",2019,6,0,0,"F",6.53588939021514,0.297142098266012,9.97054242410359,0.197379195347315,0.680717692617318,117,1
8802197,"M","pir22",2019,8,64,8,"F",8.45621464170118,0.332492471173729,10.9968070480785,0.204242403838774,0.856137571179073,118,1
8802305,"M","pir44",2019,10,9,0.9,"F",8.68916862014889,0.333833150699329,9.00785015826141,0.237744032782923,0.806949474295643,116,1
8802718,"M","pir64",2020,7,26,3.71,"C",13.1990388499061,0.410476202423938,15.6189217669738,0.258127628075324,0.784316692295128,123,1
8804391,"M","pir237",2021,7,38,5.43,"C",8.59530507006431,0.36171688007922,19.3146173292948,0.266786883632352,0.667705189677101,119,1
8860421,"F","pir8",2021,7,49,7,"F",14.5687192661949,0.353647937930504,12.9532677171856,0.178199868598129,0.994487172159816,133,1
8860701,"F","pir154",2021,7,4,0.57,"F",15.1165706356395,0.358248133364453,18.2521097252426,0.218375643506616,0.668957088379718,119,1
8860715,"F","pir34",2021,7,70,10,"C",14.9948590239131,0.381727987177307,17.9020529363572,0.242132567355966,0.6872485194582,120,1
8860751,"F","pir159",2021,7,36,5.14,"C",12.1802757092614,0.362763270658551,8.54951696369181,0.24250426589269,0.726870538960882,119,1
8860762,"M","pir39",2021,9,18,2,"C",8.51279019442632,0.332806198760623,19.1032838048105,0.248595194402235,0.49880166036158,122,1
